fid,value,confidence
map_popmean,88,24
abp_mean_popmean,88,24
abp_sys_popmean,105,24
abp_dias_popmean,79.5,24
nbp_mean_popmean,88,24
lipase_popmean,80,24
magnesium_popmean,2,24
ast_liver_enzymes_popmean,25,24
alt_liver_enzymes_popmean,31.5,24
troponin_popmean,0,24
ptt_popmean,30,24
calcium_popmean,9.35,24
bicarbonate_popmean,26.5,24
chloride_popmean,101,24
arterial_ph_popmean,7.4,24
heart_rate_popmean,80,24
nbp_dias_popmean,79.5,24
nbp_sys_popmean,105,24
rass_popmean,0,24
resp_rate_popmean,16,24
spo2_popmean,96.5,24
weight_popmean,81,24
anion_gap_popmean,16.75,24
gfr_aa_popmean,60,24
gfr_naa_popmean,60,24
glucose_popmean,85,24
urine_granular_cast_popmean,0,24
urine_rbc_cast_popmean,0,24
urine_wbc_cast_popmean,0,24
urine_epithelial_cast_popmean,0,24
urine_broad_cast_popmean,0,24
urine_hyaline_cast_popmean,0,24
urine_waxy_cast_popmean,0,24
urine_cellular_cast_popmean,0,24
phosphorus_popmean,3.5,24
albumin_popmean,4.5,24
urine_ketones_popmean,0,24
bilirubin_popmean,1,24
bun_popmean,13.5,24
bun_to_cr_popmean,15.9,24
co2_popmean,26,24
creatinine_popmean,0.85,24
fio2_popmean,21,24
gcs_popmean,15,24
hematocrit_popmean,42,24
hemoglobin_popmean,13,24
inr_popmean,0.95,24
lactate_popmean,0.75,24
paco2_popmean,40,24
pao2_popmean,87.5,24
platelets_popmean,300,24
potassium_popmean,4.25,24
sodium_popmean,140,24
temperature_popmean,98.6,24
wbc_popmean,7.25,24
amylase_popmean,54,24
ddimer_popmean,1,24
