dataset_id,fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit,function_arguments
1001,chief_complaint,T,JSON,yes,no,,,,,chief complaint,1,no unit,
1001,furosemide_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,pao2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg,
1001,suspicion_of_infection,T,Boolean,no,no,,,suspicion_of_infection_update,"culture_order, any_antibiotics_order",return True if suspicion_of_infection criteria satisfy,1,no unit,
1001,theophylline_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,hepatic_sofa,TWF,Integer,no,no,,,hepatic_sofa_update,bilirubin,"Lab-based feature, it should not be sparse",1,no unit,
1001,paco2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg,
1001,organ_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit,
1001,chronic_pulmonary_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1001,emphysema_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1001,esrd_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1001,organ_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1001,immunodeficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1001,heart_arrhythmias_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1001,chronic_bronchitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit,
1001,dobutamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min,
1001,abp_mean,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, mean of Diastolic Arterial blood pressure",1,mmHg,
1001,stroke_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with stroke during hospital stay",1,,
1001,ceftriaxone_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,aztreonam_dose,T,JSON,yes,no,,,,,Medication,1,TBD,
1001,norepinephrine_dose,T,JSON,yes,no,,,,,Medication,1,TBD,
1001,amoxicillin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,ampicillin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,azithromycin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,cefazolin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,cefepime_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,ceftazidime_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,ceftriaxone_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,ciprofloxacin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,clindamycin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,cms_antibiotics_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,crystalloid_fluid_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,dextrose_normal_saline_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,dextrose_water_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,dopamine_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,gentamicin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,lactated_ringers_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,levofloxacin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,levophed_infusion_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,meropenem_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,metronidazole_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,moxifloxacin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,neosynephrine_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,penicillin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,piperacillin_tazobac_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,rifampin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,sodium_bicarbonate_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,sodium_chloride_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,vancomycin_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,vasopressors_dose_order,T,String,yes,no,,,,,Medication Orders,1,no unit,
1001,cefepime_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,levofloxacin_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,azithromycin_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,dextrose_normal_saline,T,JSON,yes,no,,,,,Medication,1,mg,
1001,dextrose_water,T,JSON,yes,no,,,,,Medication,1,mg,
1001,sodium_chloride,T,JSON,yes,no,,,,,Medication,1,mg,
1001,lactated_ringers,T,JSON,yes,no,,,,,Medication,1,ml,
1001,metronidazole_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,biliary_sepsis,T,String,yes,no,,,,,,,,
1001,sodium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L,
1001,neosynephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1001,obstructive_pe_shock,TWF,Integer,no,no,,,obstructive_pe_shock_update,"lactate, ddimer, spo2, heart_rate",screening label,1,no unit,
1001,metabolic_acidosis,TWF,int,no,no,,,metabolic_acidosis_update,"arterial_ph, bicarbonate",event,1,no unit,
1001,troponin,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,ng/mL,
1001,enalaprilat_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,milrinone_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min,
1001,rass,TWF,Real,yes,no,last_value_in_window,5,,,Physiologic,1,no unit,
1001,pneumonia_sepsis_approx,T,String,yes,no,,,,,,,,
1001,acute_kidney_failure,T,Boolean,no,no,,,acute_kidney_failure_update,"acute_kidney_failure_inhosp, creatinine, urine_output_24hr, dialysis",Diagnoses,1,,
1001,organ_dysfunction,TWF,Integer,no,no,,,organ_dysfunction_update, resp_sofa, renal_sofa, hepatic_sofa, hematologic_sofa,
1001,any_antibiotics,T,Boolean,no,no,,,any_antibiotics_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazobac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotic was given to the patient,1,no unit,
1001,sirs_raw,TWF,Boolean,no,no,,,sirs_raw_update,"sirs_temperature_oor, sirs_hr_oor, sirs_resp_oor, sirs_wbc_oor","mix of lab and vital signs, it should not be sparse",1,no unit,
1001,chronic_bronchitis_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1001,pao2_to_fio2,TWF,Real,no,no,,,pao2_to_fio2_update,"pao2, fio2","vital sign based, it should not be sparse",1,mmHg,
1001,propofol_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,vasopressors_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,ciprofloxacin_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,amoxicillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1001,verapamil_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,qsofa,TWF,Integer,no,no,,,qsofa_update,"resp_rate, sbpm, gcs",it should not be sparse,1,no unit,
1001,erythromycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1001,fio2,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,%,
1001,neurologic_sofa,TWF,Integer,no,no,,,neurologic_sofa_update,gcs,"vital-sign based,  it should not be sparse",1,no unit,
1001,hematologic_sofa,TWF,Integer,no,no,,,hematologic_sofa_update,platelets,"Lab-based feature, it should not be sparse",1,no unit,
1001,any_anticoagulant,T,Boolean,no,no,,,anticoagulant_update,"apixaban_dose, dabigatran_dose, rivaroxaban_dose, warfarin_dose, heparin_dose","Medication, 1 if any anticoagulant administered",1,,
1001,renal_sofa,TWF,Integer,no,no,,,renal_sofa_update,"creatinine, urine_output_24hr",it should not be sparse,1,no unit,
1001,clindamycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1001,levophed_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/min,
1001,nbp_sys,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,mmHg,
1001,etomidate_dose,T,JSON,yes,no,,,,,Medication,1,mg,
1001,tobramycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1001,sirs_hr_oor,TWF,Boolean,no,no,,,sirs_hr_oor_update,heart_rate,"vital sign based,  it should not be sparse",1,no unit,
1001,rapamycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg,
1001,resp_sofa,TWF,Integer,no,no,,,resp_sofa_update,"vent, pao2_to_fio2",,1,no unit,
1001,bun_to_cr,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit,
1001,hypersensitivity_pneumonitis_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1001,prednisone_dose,T,JSON,yes,no,,,,,Medication,1,,
1001,chronic_kidney_hist,S,Boolean,yes,no,,,,,History,1,no unit,
1001,chronic_kidney_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit,
1001,chronic_kidney_prob,S,Boolean,yes,no,,,,,Problem List,1,no unit,
1001,chronic_kidney_final_diag,S,Boolean,yes,no,,,,,Final Diagnoses,1,no unit,
1001,vasopressin_dose,T,JSON,yes,no,,3,,,Medication,1,unit,
1001,cmi,TWF,Boolean,no,no,,,cmi_update,"severe_sepsis, fluid_resuscitation, vasopressor_resuscitation, fluids_intake_1hr","label, it should not be sparse",1,no unit,
1001,heart_attack,T,Boolean,no,no,,,heart_attack_update,"heart_attack_inhosp, ekg_proc, troponin","Diagnoses, t at time of heart attack",1,,
1001,levophed_injection_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min,
1001,gender,S,Integer,yes,no,,,,,Demographic,1,0 stands for female and 1 stands for male,
1001,cardio_sofa,TWF,Integer,no,no,,,cardio_sofa_update,"map, dopamine_dose, epinephrine_dose, dobutamine_dose, levophed_infusion_dose, weight","a feature based on medication and vital sign, SOFA, Cardio vascular",1,no unit,
1001,stroke,T,Boolean,no,no,,,stroke_update,"stroke_inhosp, ct_proc, mri_proc",Diagnoses,1,,
1001,pulmonary_emboli_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with pulmonary emboli during hospital stay",1,,
