dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
1001,threshold_inr,transform,"threshold(0.01, 12)"
1001,hypotension_raw_update,derive,ref Arch folder
1001,minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
1001,threshold_abp_dias,transform,"threshold(8 , 150)"
1001,nbp_mean_update,derive,ref Arch folder
1001,threshold_platelets,transform,"threshold(0.1, 1200)"
1001,severe_sepsis_update,derive,ref Arch folder
1001,septic_shock_iii_update,derive,ref Arch folder
1001,fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature
1001,sirs_hr_oor_update,derive,ref Arch folder
1001,convert_penicillin_g_dose,transform,convert to million unit
1001,convert_dose_to_binary,transform,indicate where the medication was taken
1001,convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
1001,lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
1001,qsofa_update,derive,ref Arch folder
1001,transform_potassium,transform,transform potassium to mmol
1001,convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
1001,threshold_nbp_mean,transform,"threshold(20, 250)"
1001,threshold_nbp_dias,transform,"threshold(8 , 150)"
1001,convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
1001,convert_clindamycin_dose_to_mg,transform,convert_clindamycin_dose_to_mg
1001,threshold_bilirubin,transform,"threshold(0, 50)"
1001,threshold_sodium,transform,"threshold(115, 160)"
1001,hemorrhage_update,derive,1 at estimated time of hemorrhage diagnosis
1001,dbpm_update,derive,ref Arch folder
1001,threshold_potassium,transform,"threshold(1, 10)"
1001,hepatic_sofa_update,derive,ref Arch folder
1001,convert_gentamicin_dose_to_mg,transform,convert_gentamicin_dose_to_mg
1001,admit_weight_update,derive,generate admit weight
1001,acute_liver_failure_update,derive,ref Arch folder
1001,threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
1001,convert_proc_to_json,transform,"{""name"":string, ""status"":string}"
1001,heart_attack_update,derive,1 at estimated time of heart attack diagnosis
