name,fid,override_value,category
suspicion_of_infection,suspicion_of_infection,,simple
sirs_temp,temperature,"{""lower"": 96.8, ""upper"": 100.9}",simple
heart_rate,heart_rate,"{""upper"": 90}",simple
respiratory_rate,resp_rate,"{""upper"": 20}",simple
wbc,wbc,"{""lower"": 4, ""upper"": 12}",simple
wbc,bands,"{""upper"":10}",simple
blood_pressure,bp_sys,"{""lower"":90}",simple
mean_arterial_pressure,map,"{""lower"":65}",simple
bilirubin,bilirubin,"{""upper"":2}",simple
platelet,platelets,"{""lower"":100}",simple
inr,inr,"{""upper"":1.5}",simple
inr,ptt,"{""upper"":60}",simple
lactate,lactate,"{""upper"":2}",simple
systolic_bp,bp_sys,"{""lower"":90}",hypotension
hypotension_map,map,"{""lower"":65}",hypotension
decrease_in_sbp,bp_sys,"{""lower"":65}",decrease_in_sbp
hypotension_dsbp,bp_sys,"{""lower"":65}",hypotension_dsbp
respiratory_failure,vent,,respiratory_failure
respiratory_failure,bipap,,respiratory_failure
respiratory_failure,cpap,,respiratory_failure
creatinine,creatinine,"{""upper"":2.0}",simple
creatinine,creatinine,"{""lower"":0.5}",urine_output
crystalloid_fluid,crystalloid_fluid,"{""upper"":124.999}",simple
initial_lactate,lactate,"{""upper"":4}",simple
initial_lactate_order,lactate_order,,after_severe_sepsis
blood_culture_order,blood_culture_order,,after_severe_sepsis
antibiotics_order,cms_antibiotics_order,"{""lower"":0}",after_severe_sepsis_dose
antibiotics_order,cms_antibiotics,"{""lower"":0}",after_severe_sepsis_dose
crystalloid_fluid_order,crystalloid_fluid_order,"{""lower"":30}",after_severe_sepsis_dose
crystalloid_fluid_order,crystalloid_fluid,"{""lower"":30}",after_severe_sepsis_dose
repeat_lactate_order,lactate_order,,repeat_lactate_order
vasopressors_order,vasopressors_dose_order,"{""lower"":0}",after_septic_shock_dose
vasopressors_order,vasopressors_dose,"{""lower"":0}",after_septic_shock_dose
