FUNC_ID,FUNC_TYPE,DESCRIPTION
threshold_inr,transform,"threshold(0.01, 12)"
hypotension_raw_update,derive,ref Arch folder
minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
threshold_abp_dias,transform,"threshold(8 , 150)"
nbp_mean_update,derive,ref Arch folder
threshold_platelets,transform,"threshold(0.1, 1200)"
severe_sepsis_update,derive,ref Arch folder
septic_shock_iii_update,derive,ref Arch folder
fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature
sirs_hr_oor_update,derive,ref Arch folder
convert_penicillin_g_dose,transform,convert to million unit
convert_dose_to_binary,transform,indicate where the medication was taken
convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
qsofa_update,derive,ref Arch folder
transform_potassium,transform,transform potassium to mmol
convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
threshold_nbp_mean,transform,"threshold(20, 250)"
threshold_nbp_dias,transform,"threshold(8 , 150)"
convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
convert_clindamycin_dose_to_mg,transform,convert_clindamycin_dose_to_mg
threshold_bilirubin,transform,"threshold(0, 50)"
threshold_sodium,transform,"threshold(115, 160)"
hemorrhage_update,derive,1 at estimated time of hemorrhage diagnosis
dbpm_update,derive,ref Arch folder
threshold_potassium,transform,"threshold(1, 10)"
hepatic_sofa_update,derive,ref Arch folder
convert_gentamicin_dose_to_mg,transform,convert_gentamicin_dose_to_mg
admit_weight_update,derive,generate admit weight
acute_liver_failure_update,derive,ref Arch folder
threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
convert_proc_to_json,transform,"{""name"":string, ""status"":string}"
heart_attack_update,derive,1 at estimated time of heart attack diagnosis
convert_vent_to_binary,transform,if Value == 'Vent Start' return 1; If Value == 'Vent Stop' return 0
cmi_update,derive,ref Arch folder
hepatic_failure_update,derive,1 at estimated time of hepatic failure diagnosis
fluids_intake_1hr,derive,sum up fluids intake within 1 hour
convert_to_mcg_kg_min,transform,if dose is not null and assert unit is mcg/kg/min then return real(dose)
neurologic_sofa_update,derive,ref Arch folder
convert_to_mcg_min,transform,convert value to mcg/min
fluids_intake_24hr,derive,sum up fluids intake within 24 hours
sirs_raw_update,derive,ref Arch folder
convert_inhosp_to_json,transform,"{""diagname"":string, ""ischronic"":1/0, ""present on admission"":string}"
worst_sofa_update,derive,ref Arch folder
any_organ_failure_update,derive,ref Arch folder
get_diastolic,transform,"BP is reported as a string in the form of ""140/70"". GetDiastolic returns the value after the ""/"" char. Ignore the entry row if it's null."
hypotension_intp_update,derive,ref Arch folder
threshold_creatinine,transform,"threshold(0.1, 40)"
threshold_lactate,transform,"threshold(0.2, 40)"
jh_pressor_update,derive,ref Arch folder
beta_blocker_update,derive,"1 if any beta-blocker given at tsp, 0 otherwise. See Arch for specific medications."
glucocorticoid_update,derive,"1 if any glucocorticoid given at tsp, 0 otherwise. See Arch for specific medications."
convert_salmeterol_dose,transform,use default_convert_dose function and convert all does > 4.0 to 4.0
convert_to_mmol,transform,if reference_unit == 'mEq/L' return value
threshold_hemoglobin,transform,"threshold(4 , 20)"
any_antibiotics_order_update,derive,any antibiotics order has been placed
mapm_update,derive,ref Arch folder
threshold_gcs,transform,"threshold(3, 15)"
gi_bleed_update,derive,calculate gi_bleed
convert_lab_value_to_real,transform,convert value to float and transform <float or >float to float
resp_sofa_update,derive,ref Arch folder
threshold_abp_mean,transform,"threshold(20 , 170)"
threshold_fio2,transform,"threshold(20, 100)"
anticoagulant_update,derive,"1 if any anticoagulant given at tsp, 0 otherwise. See Arch for specific medications."
convert_pao2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
convert_vasopressin_to_unit,transform, convert vasopressin in Unit
convert_catheter_to_binary,transform,"1 when catheter present, 0 prior to insertion and after removal"
minutes_since_any_antibiotics_update,derive,ref Arch folder
sufficient_fluid_replacement_update,derive,ref Arch folder
stroke_update,derive,1 at estimated time of stroke diagnosis
transform_sodium,transform,transform sodium to mmol
urine_output_24hr,derive,ref Arch folder
threshold_paco2,transform,"threshold(5, 100)"
fluid_resuscitation_update,derive,ref Arch folder
obstructive_pe_shock_update,derive,ref Arch folder
cast_string_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
pao2_to_fio2_update,derive,PaO2/FiO2
get_systolic,transform,"BP is reported as a string in the form of ""140/70"". GetSystolic returns the value before the ""/"" char"
minutes_to_shock_onset_update,derive,ref Arch folder
sirs_temperature_oor_update,derive,ref Arch folder
any_inotrope_update,derive,need description
any_antibiotics_update,derive,need description
extract_fluids_intake,transform,extract fluids intake from MAR into volumns
cardio_sofa_update,derive,ref Arch folder
threshold_hematocrit,transform,"threshold(15, 60)"
convert_propofol_to_mg,transform, convert propofol in mg or mcg/kg/min to mg
severe_pancreatitis_update,derive,1 at estimated time of severe pancreatitis diagnosis
convert_paco2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
time_since_last_measured,derive,calculate minutes since last measured value
convert_vancomycin_dose_to_mg,transform,convert_vancomycin_dose_to_mg
vasopressor_update,derive,ref Arch folder
convert_to_ngdl,transform,convert ng/mL to ng/dl by dividing 100
urine_output_6hr,derive,ref Arch folder
last_value_in_window,fillin,"fills in values from the last value in the window, if not available, fills in from population mean"
acute_pancreatitis_update,derive, ref Arch folder
renal_sofa_update,derive,ref Arch folder
threshold_co2,transform,"threshold(0.1, 55)"
convert_to_given_dose,transform,directly load the dose when the action is in the default given action set
change_since_last_measured,derive,calculate measurement change since last measured value
convert_to_mg,transform,if MedUnit =='g' then Dose = Dose * 1000 ------- if MedUnit == 'mcg' then Dose = Dose / 1000 --- if MedUnit =='mg of piperacillin' then Dose = Dose;
mi_update,derive,calculate mi
threshold_pao2,transform,"threshold(0.1, 500)"
suspicion_of_infection_update,derive,ref Arch folder
threshold_nbp_sys,transform,"threshold(30 , 250)"
convert_dialysis_to_binary,transform,indicator 1 when dialysis performed
metabolic_acidosis_update,derive,calculate metabolic acidosis
fillin,fillin,Fills the missing data in a TWF feature by copying the latest valid value to the gap
sirs_resp_oor_update,derive,ref Arch folder
convert_penicillin_dose,transform,convert to million unit
convert_ounces_to_kg,transform,Convet Onces (weight) to Kgs
piperacillin_tazbac_dose_to_mg,transform,"if unit == 'mg of piperacillin', then return the value in mg; else return convert_to_mg"
threshold_abp_sys,transform,"threshold(30 , 300)"
load_discharge_json,transform,load discharge into json format including department and disposition
convert_amoxicillin_dose_to_mg,transform,if MedUnit=='tablet' then Dose = Dose*medication_unit
acute_kidney_failure_update,derive,1 at estimated time of kidney failure diagnosis
pulmonary_emboli_update,derive,1 at estimated time of pulmonary emboli diagnosis
treatment_within_6_hours_update,derive,Indicator of whether a treatment was received in past 6 hours
convert_care_unit_hc_epic,transform,generate care_unit for HC_EPIC
threshold_temperature,transform,"threshold(80, 110)"
sirs_intp_update,derive,ref Arch folder
any_pressor_update,derive,need description
vasopressor_resuscitation_update,derive,ref Arch folder
hematologic_sofa_update,derive,ref Arch folder
convert_co2_to_real,transform,convert co2 to real
septic_shock_update,derive,ref Arch folder
convert_arterial_ph_to_real,transform,if value == '<6.79' then 6.79; else return float(value)
convert_inr_to_real,transform,if value start with '>' then return real(value[1:]); else return real(value)
sirs_wbc_oor_update,derive,ref Arch folder
convert_creatinine_to_real,transform,if value == '<0.1' then 0.1; else return real(value)
acute_organ_failure_update,derive,ref Arch folder
default_convert_dose,transform,directly convert dose
threshold_weight,transform,"threshold(20, 300)"
fluids_intake_3hr,derive,sum up fluids intake within 3 hours
threshold_heart_rate,transform,"threshold(20, 300)"
