dataset_id,fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit
3,furosemide_dose,T,JSON,yes,no,,,,,Medication,1,mg
3,pao2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
3,suspicion_of_infection,T,Boolean,no,no,,,suspicion_of_infection_update,"culture_order, any_antibiotics_order",return True if suspicion_of_infection criteria satisfy,1,no unit
3,theophylline_dose,T,JSON,yes,no,,,,,Medication,1,mg
3,hepatic_sofa,TWF,Integer,no,no,,,hepatic_sofa_update,bilirubin,"Lab-based feature, it should not be sparse",1,no unit
3,paco2,TWF,Real,yes,no,last_value_in_window,28,,,Labs,1,mmHg
3,organ_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit
3,chronic_pulmonary_hist,S,Boolean,yes,no,,,,,History,1,no unit
3,emphysema_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
3,esrd_hist,S,Boolean,yes,no,,,,,History,1,no unit
3,organ_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
3,immunodeficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
3,heart_arrhythmias_hist,S,Boolean,yes,no,,,,,History,1,no unit
3,chronic_bronchitis_prob,S,Boolean,yes,no,,,,,ProblemList,1,no unit
3,dobutamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
3,abp_mean,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, mean of Diastolic Arterial blood pressure",1,mmHg
3,stroke_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with stroke during hospital stay",1,
3,ceftriaxone_dose,T,JSON,yes,no,,,,,Medication,1,mg
3,biliary_sepsis,T,String,yes,no,,,,,,,
3,sodium,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
3,neosynephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mg
3,obstructive_pe_shock,TWF,Integer,no,no,,,obstructive_pe_shock_update,"lactate, ddimer, spo2, heart_rate",screening label,1,no unit
3,metabolic_acidosis,TWF,int,no,no,,,metabolic_acidosis_update,"arterial_ph, bicarbonate",event,1,no unit
3,troponin,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,ng/mL
3,enalaprilat_dose,T,JSON,yes,no,,,,,Medication,1,mg
