dataset_id,name,fid,override_value,category
4,suspicion_of_infection,suspicion_of_infection,,simple
4,sirs_temp,temperature,"{""lower"": 96.8, ""upper"": 100.94}",simple
4,heart_rate,heart_rate,"{""upper"": 90}",simple
4,respiratory_rate,resp_rate,"{""upper"": 20}",simple
4,wbc,wbc,"{""lower"": 4, ""upper"": 12}",simple
4,wbc,bands,"{""upper"":10}",simple
4,blood_pressure,bp_sys,"{""lower"":90}",simple
4,mean_arterial_pressure,map,"{""lower"":65}",simple
4,bilirubin,bilirubin,"{""upper"":2}",simple
4,platelet,platelets,"{""lower"":100}",simple
4,inr,inr,"{""upper"":1.5}",simple
4,inr,ptt,"{""upper"":60}",simple
4,lactate,lactate,"{""upper"":2}",simple
4,systolic_bp,bp_sys,"{""lower"":90}",hypotension
4,hypotension_map,map,"{""lower"":65}",hypotension
4,decrease_in_sbp,bp_sys,"{""lower"":65}",decrease_in_sbp
4,hypotension_dsbp,bp_sys,"{""lower"":65}",hypotension_dsbp
4,respiratory_failure,vent,,respiratory_failure
4,respiratory_failure,bipap,,respiratory_failure
4,respiratory_failure,cpap,,respiratory_failure
4,creatinine,creatinine,"{""upper"":2.0}",simple
4,creatinine,creatinine,"{""lower"":0.5}",urine_output
4,crystalloid_fluid,crystalloid_fluid,"{""upper"":30}",simple
4,crystalloid_fluid,fluids_intake,"{""upper"":0}",simple
4,initial_lactate,lactate,"{""upper"":4}",simple
4,initial_lactate_order,lactate_order,,after_severe_sepsis
4,blood_culture_order,blood_culture_order,,after_severe_sepsis
4,antibiotics_order,cms_antibiotics_order,"{""lower"":0}",after_severe_sepsis_dose
4,antibiotics_order,cms_antibiotics,"{""lower"":0}",after_severe_sepsis_dose
4,crystalloid_fluid_order,crystalloid_fluid_order,"{""lower"":30}",after_severe_sepsis_dose
4,crystalloid_fluid_order,crystalloid_fluid,"{""lower"":30}",after_severe_sepsis_dose
4,repeat_lactate_order,lactate_order,,repeat_lactate_order
4,vasopressors_order,vasopressors_dose_order,"{""lower"":0}",after_septic_shock_dose
4,vasopressors_order,vasopressors_dose,"{""lower"":0}",after_septic_shock_dose
