dataset_id,FUNC_ID,FUNC_TYPE,DESCRIPTION
7,threshold_inr,transform,"threshold(0.01, 12)"
7,hypotension_raw_update,derive,ref Arch folder
7,minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
7,threshold_abp_dias,transform,"threshold(8 , 150)"
7,nbp_mean_update,derive,ref Arch folder
7,threshold_platelets,transform,"threshold(0.1, 1200)"
7,severe_sepsis_update,derive,ref Arch folder
7,septic_shock_iii_update,derive,ref Arch folder
7,fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature
7,sirs_hr_oor_update,derive,ref Arch folder
7,convert_penicillin_g_dose,transform,convert to million unit
7,convert_dose_to_binary,transform,indicate where the medication was taken
7,convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
7,lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
7,qsofa_update,derive,ref Arch folder
7,transform_potassium,transform,transform potassium to mmol
7,convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
7,threshold_nbp_mean,transform,"threshold(20, 250)"
7,threshold_nbp_dias,transform,"threshold(8 , 150)"
7,convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
7,convert_clindamycin_dose_to_mg,transform,convert_clindamycin_dose_to_mg
7,threshold_bilirubin,transform,"threshold(0, 50)"
7,threshold_sodium,transform,"threshold(115, 160)"
7,hemorrhage_update,derive,1 at estimated time of hemorrhage diagnosis
7,dbpm_update,derive,ref Arch folder
7,threshold_potassium,transform,"threshold(1, 10)"
7,hepatic_sofa_update,derive,ref Arch folder
7,convert_gentamicin_dose_to_mg,transform,convert_gentamicin_dose_to_mg
7,admit_weight_update,derive,generate admit weight
7,acute_liver_failure_update,derive,ref Arch folder
7,threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
7,convert_proc_to_json,transform,"{""name"":string, ""status"":string}"
7,heart_attack_update,derive,1 at estimated time of heart attack diagnosis
7,convert_vent_to_binary,transform,if Value == 'Vent Start' return 1; If Value == 'Vent Stop' return 0
7,cmi_update,derive,ref Arch folder
7,hepatic_failure_update,derive,1 at estimated time of hepatic failure diagnosis
7,fluids_intake_1hr,derive,sum up fluids intake within 1 hour
7,convert_to_mcg_kg_min,transform,if dose is not null and assert unit is mcg/kg/min then return real(dose)
7,neurologic_sofa_update,derive,ref Arch folder
7,convert_to_mcg_min,transform,convert value to mcg/min
7,fluids_intake_24hr,derive,sum up fluids intake within 24 hours
7,sirs_raw_update,derive,ref Arch folder
7,convert_inhosp_to_json,transform,"{""diagname"":string, ""ischronic"":1/0, ""present on admission"":string}"
7,worst_sofa_update,derive,ref Arch folder
7,any_organ_failure_update,derive,ref Arch folder
7,get_diastolic,transform,"BP is reported as a string in the form of ""140/70"". GetDiastolic returns the value after the ""/"" char. Ignore the entry row if it's null."
7,hypotension_intp_update,derive,ref Arch folder
7,threshold_creatinine,transform,"threshold(0.1, 40)"
7,threshold_lactate,transform,"threshold(0.2, 40)"
7,jh_pressor_update,derive,ref Arch folder
7,beta_blocker_update,derive,"1 if any beta-blocker given at tsp, 0 otherwise. See Arch for specific medications."
7,glucocorticoid_update,derive,"1 if any glucocorticoid given at tsp, 0 otherwise. See Arch for specific medications."
7,convert_salmeterol_dose,transform,use default_convert_dose function and convert all does > 4.0 to 4.0
7,convert_to_mmol,transform,if reference_unit == 'mEq/L' return value
7,threshold_hemoglobin,transform,"threshold(4 , 20)"
7,any_antibiotics_order_update,derive,any antibiotics order has been placed
7,mapm_update,derive,ref Arch folder
7,threshold_gcs,transform,"threshold(3, 15)"
7,gi_bleed_update,derive,calculate gi_bleed
7,convert_lab_value_to_real,transform,convert value to float and transform <float or >float to float
7,resp_sofa_update,derive,ref Arch folder
7,threshold_abp_mean,transform,"threshold(20 , 170)"
7,threshold_fio2,transform,"threshold(20, 100)"
7,anticoagulant_update,derive,"1 if any anticoagulant given at tsp, 0 otherwise. See Arch for specific medications."
7,convert_pao2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
7,convert_vasopressin_to_unit,transform, convert vasopressin in Unit
7,convert_catheter_to_binary,transform,"1 when catheter present, 0 prior to insertion and after removal"
7,minutes_since_any_antibiotics_update,derive,ref Arch folder
7,sufficient_fluid_replacement_update,derive,ref Arch folder
7,stroke_update,derive,1 at estimated time of stroke diagnosis
7,transform_sodium,transform,transform sodium to mmol
7,urine_output_24hr,derive,ref Arch folder
7,threshold_paco2,transform,"threshold(5, 100)"
7,fluid_resuscitation_update,derive,ref Arch folder
7,obstructive_pe_shock_update,derive,ref Arch folder
7,cast_string_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
7,pao2_to_fio2_update,derive,PaO2/FiO2
7,get_systolic,transform,"BP is reported as a string in the form of ""140/70"". GetSystolic returns the value before the ""/"" char"
7,minutes_to_shock_onset_update,derive,ref Arch folder
7,sirs_temperature_oor_update,derive,ref Arch folder
7,any_inotrope_update,derive,need description
7,any_antibiotics_update,derive,need description
7,extract_fluids_intake,transform,extract fluids intake from MAR into volumns
7,cardio_sofa_update,derive,ref Arch folder
7,threshold_hematocrit,transform,"threshold(15, 60)"
7,convert_propofol_to_mg,transform, convert propofol in mg or mcg/kg/min to mg
7,severe_pancreatitis_update,derive,1 at estimated time of severe pancreatitis diagnosis
7,convert_paco2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
7,time_since_last_measured,derive,calculate minutes since last measured value
7,convert_vancomycin_dose_to_mg,transform,convert_vancomycin_dose_to_mg
7,vasopressor_update,derive,ref Arch folder
7,convert_to_ngdl,transform,convert ng/mL to ng/dl by dividing 100
7,urine_output_6hr,derive,ref Arch folder
7,last_value_in_window,fillin,"fills in values from the last value in the window, if not available, fills in from population mean"
7,acute_pancreatitis_update,derive, ref Arch folder
7,renal_sofa_update,derive,ref Arch folder
7,threshold_co2,transform,"threshold(0.1, 55)"
7,convert_to_given_dose,transform,directly load the dose when the action is in the default given action set
7,change_since_last_measured,derive,calculate measurement change since last measured value
7,convert_to_mg,transform,if MedUnit =='g' then Dose = Dose * 1000 ------- if MedUnit == 'mcg' then Dose = Dose / 1000 --- if MedUnit =='mg of piperacillin' then Dose = Dose;
