dataset_id,name,fid,override_value,category
1,suspicion_of_infection,suspicion_of_infection,,simple
1,sirs_temp,temperature,"{""lower"": 96.8, ""upper"": 100.94}",simple
1,heart_rate,heart_rate,"{""upper"": 90}",simple
1,respiratory_rate,resp_rate,"{""upper"": 20}",simple
1,wbc,wbc,"{""lower"": 4, ""upper"": 12}",simple
1,wbc,bands,"{""upper"":10}",simple
1,blood_pressure,bp_sys,"{""lower"":90}"",simple
1,mean_arterial_pressure,map,"{""lower"":65}"",simple
1,bilirubin,bilirubin,"{""upper"":2}"",simple
1,platelet,platelets,"{""lower"":100}",simple
1,inr,inr,"{""upper"":1.5}",simple
1,inr,ptt,"{""upper"":60}",simple
1,lactate,lactate,"{""upper"":2}",simple
1,systolic_bp,bp_sys,"{""lower"":90}",hypotension
1,hypotension_map,map,"{""lower"":65}",hypotension
1,decrease_in_sbp,bp_sys,"{""lower"":65}",decrease_in_sbp
1,hypotension_dsbp,bp_sys,"{""lower"":65}",hypotension_dsbp
1,respiratory_failure,pao2_to_fio2,"{""lower"":100}"",cdm_twf
1,creatinine,creatinine,"{""upper"":2.0}",simple
1,creatinine,creatinine,"{""lower"":0.5}",urine_output
1,crystalloid_fluid,crystalloid_fluid,"{""upper"":30}",simple
1,crystalloid_fluid,fluids_intake,"{""upper"":0}",simple
1,initial_lactate,lactate,"{""upper"":4}",simple
1,initial_lactate_order,lactate_order,,after_severe_sepsis
1,blood_culture_order,blood_culture_order,,after_severe_sepsis
1,antibiotics_order,cms_antibiotics_order,"{""lower"":0}",after_severe_sepsis_dose
1,antibiotics_order,cms_antibiotics,"{""lower"":0}",after_severe_sepsis_dose
1,crystalloid_fluid_order,crystalloid_fluid_order,"{""lower"":30}",after_severe_sepsis_dose
1,crystalloid_fluid_order,crystalloid_fluid,"{""lower"":30}",after_severe_sepsis_dose
1,repeat_lactate_order,lactate_order,,repeat_lactate_order
1,vasopressors_order,vasopressors_dose_order,"{""lower"":0}",after_septic_shock_dose
1,vasopressors_order,vasopressors_dose,"{""lower"":0}",after_septic_shock_dose
