fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit
admit_weight,S,Real,no,no,,,admit_weight_update,weight,Admission weight,1,kg
age,S,Real,yes,no,,,,,Demographic,1,year
gender,S,Integer,yes,no,,,,,Demographic,1,0 stands for female and 1 stands for male
aids_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
aids_hist,S,Boolean,yes,no,,,,,History,1,no unit
chronic_kidney_hist,S,Boolean,yes,no,,,,,History,1,no unit
chronic_pulmonary_hist,S,Boolean,yes,no,,,,,History,1,no unit
diabetes_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
diabetes_hist,S,Boolean,yes,no,,,,,History,1,no unit
dialysis_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
dialysis_hist,S,Boolean,yes,no,,,,,History,1,no unit
met_carcinoma_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
met_carcinoma_hist,S,Boolean,yes,no,,,,,History,1,no unit
heart_failure_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
heart_failure_hist,S,Boolean,yes,no,,,,,History,1,no unit
hem_malig_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
immuno_comp_hist,S,Boolean,yes,no,,,,,History,1,no unit
immuno_comp_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
infections_angus_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
infections_angus_hist,S,Boolean,yes,no,,,,,History,1,no unit
liver_disease_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
liver_disease_hist,S,Boolean,yes,no,,,,,history,1,no unit
organ_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
organ_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit
renal_insufficiency_diag,S,Boolean,yes,no,,,,,Diagnoses,1,no unit
renal_insufficiency_hist,S,Boolean,yes,no,,,,,history,1,no unit
sepsis_note,S,Boolean,yes,no,,,,,Label,1,no unit
amoxicillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
care_unit,T,Real,yes,no,,,,,Department,1,no unit
ampicillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
any_pressor,T,Boolean,no,no,,,any_pressor_update,"dopamine_dose, epinephrine_dose, levophed_infusion_dose, neosynephrine_dose, vasopressin_dose",any antibiotic was given to the patient,1,no unit
any_inotrope,T,Boolean,no,no,,,any_inotrope_update,"dobutamine_dose, milrinone_dose",any antibiotic was given to the patient,1,no unit
any_antibiotics,T,Boolean,no,no,,,any_antibiotics_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazbac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotic was given to the patient,1,no unit
any_antibiotics_order,T,Boolean,no,no,,,any_antibiotics_order_update,"ampicillin_dose, clindamycin_dose, erythromycin_dose , gentamicin_dose , oxacillin_dose , tobramycin_dose , vancomycin_dose , ceftazidime_dose , cefazolin_dose , penicillin_g_dose , meropenem_dose , penicillin_dose , amoxicillin_dose , piperacillin_tazbac_dose, rifampin_dose, meropenem_dose, rapamycin_dose",any antibiotics was ordered for the patient,1,no unit
cefazolin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
ceftazidime_dose,T,JSON,yes,no,,3,,,Medication,1,mg
clindamycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
dopamine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
milrinone_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
epinephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
erythromycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
fluids_intake,T,Real,yes,no,,,,,all fluids intake,1,ml
gentamicin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
isincardiacicu,T,Boolean,yes,no,,,,,"feature, cardiac surgery patients",1,no unit
levophed_infusion_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
levophed_injection_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/kg/min
meropenem_dose,T,JSON,yes,no,,3,,,Medication,1,mg
neosynephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mg
oxacillin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
penicillin_dose,T,JSON,yes,no,,3,,,Medication,1,Million Units
penicillin_g_dose,T,JSON,yes,no,,3,,,Medication,1,Million Units
piperacillin_tazbac_dose,T,JSON,yes,no,,3,,,Medication,1,mg
tobramycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
rifampin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
urine_output,T,Real,yes,no,,,,,Phyiologic,1,ml
vancomycin_dose,T,JSON,yes,no,,3,,,Medication,1,mg
vasopressin_dose,T,JSON,yes,no,,3,,,Medication,1,unit
vent,T,Boolean,yes,no,,,,,need to know when is on and when it taken away,1,no unit
abp_dias,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, Diastolic Arterial blood pressure",1,mmHg
abp_mean,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, mean of Diastolic Arterial blood pressure",1,mmHg
abp_sys,TWF,Real,yes,no,last_value_in_window,4,,,"Physiologic, Systolic Arterial blood pressure",1,mmHg
arterial_ph,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit
bilirubin,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/dl
bun,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/dL
bun_to_cr,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit
cardio_sofa,TWF,Integer,no,no,,,cardio_sofa_update,"mapm, dopamine_dose, epinephrine_dose, dobutamine_dose, levophed_infusion_dose, weight","a feature based on medication and vital sign, SOFA, Cardio vascular",1,no unit
cmi,TWF,Boolean,no,no,,,cmi_update,"severe_sepsis, fluid_resuscitation, vasopressor_resuscitation, fluids_intake_1hr","label, it should not be sparse",1,no unit
co2,TWF,Real,yes,no,last_value_in_window,28,,,"Lab, carbon dioxide",1,mmol/L
creatinine,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/dl
dbpm,TWF,Real,no,no,,,dbpm_update,"abp_dias, nbp_dias","feaure based on BP dias, Diastolic blood pressure (combines invasive and noninvasive), it should not be sparse",1,mmHg
ddimer,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mg/L
fio2,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,%
fluids_intake_24hr,TWF,Real,no,no,,,fluids_intake_24hr,fluids_intake,,1,ml
fluids_intake_1hr,TWF,Real,no,no,,,fluids_intake_1hr,fluids_intake,,1,ml
fluids_intake_3hr,TWF,Real,no,no,,,fluids_intake_3hr,fluids_intake,,1,ml
gcs,TWF,Real,yes,no,last_value_in_window,28,,,"Glasgow Coma Score, measure of consciousness on a discrete scale from 3-15 where higher is better",1,no unit
heart_rate,TWF,Real,yes,no,last_value_in_window,4,,,Physiologic,1,beats per min
hematocrit,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,%
hematologic_sofa,TWF,Integer,no,no,,,hematologic_sofa_update,platelets,"Lab-based feature, it should not be sparse",1,no unit
hemoglobin,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,gm/dL
hepatic_sofa,TWF,Integer,no,no,,,hepatic_sofa_update,bilirubin,"Lab-based feature, it should not be sparse",1,no unit
hypotension_intp,TWF,Boolean,no,no,,,hypotension_intp_update,hypotension_raw,it should not be sparse,1,no unit
hypotension_raw,TWF,Boolean,no,no,,,hypotension_raw_update,"sbpm, mapm","BP-based feature, it should not be sparse",1,no unit
inr,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,no unit
any_organ_failure,TWF,Boolean,no,no,,,any_organ_failure_update,worst_sofa,"Lab-based feature, it should not be sparse",1,no unit
lactate,TWF,Real,yes,no,last_value_in_window,28,,,Lab,1,mmol/L
mapm,TWF,Real,no,no,,,mapm_update,"abp_mean, nbp_mean","BP-based, Mean arterial pressure (MAP), it should not be sparse",1,mmHg
minutes_since_any_antibiotics,TWF,Integer,no,no,,,minutes_since_any_antibiotics_update,any_antibiotics,feature,1,min
minutes_since_any_organ_fail,TWF,Integer,no,no,,,minutes_since_organ_fail_update,any_organ_failure,"lab-based feature,  it should not be sparse",1,min
