fid,category,data_type,is_measured,is_deprecated,fillin_func_id,window_size_in_hours,derive_func_id,derive_func_input,description,version,unit
catheter,T,Boolean,yes,no,,,,,Need to know when is inserted and when removed,1,
dialysis,T,Real,yes,no,,,,,Volume of fluid removed,1,
insulin_dose,T,JSON,yes,no,,,,,Medication,1,
any_glucocorticoid,T,Boolean,no,no,,,glucocorticoid_update,"hydrocortisone_dose, prednisone_dose, prednisolone_dose, methylprednisolone_dose, dexamethasone_dose, betamethasone_dose, fludrocortisone_dose","Medication, 1 if any glucocorticoid administered",1,
hydrocortisone_dose,T,JSON,yes,no,,,,,Medication,1,
prednisone_dose,T,JSON,yes,no,,,,,Medication,1,
prednisolone_dose,T,JSON,yes,no,,,,,Medication,1,
methylprednisolone_dose,T,JSON,yes,no,,,,,Medication,1,
dexamethasone_dose,T,JSON,yes,no,,,,,Medication,1,
betamethasone_dose,T,JSON,yes,no,,,,,Medication,1,
fludrocortisone_dose,T,JSON,yes,no,,,,,Medication,1,
any_anticoagulant,T,Boolean,no,no,,,anticoagulant_update,"apixaban_dose, dabigatran_dose, rivaroxaban_dose, warfarin_dose, heparin_dose","Medication, 1 if any anticoagulant administered",1,
apixaban_dose,T,JSON,yes,no,,,,,Medication,1,
dabigatran_dose,T,JSON,yes,no,,,,,Medication,1,
rivaroxaban_dose,T,JSON,yes,no,,,,,Medication,1,
warfarin_dose,T,JSON,yes,no,,,,,Medication,1,
heparin_dose,T,JSON,yes,no,,,,,Medication,1,
any_beta_blocker,T,Boolean,no,no,,,beta_blocker_update,"acebutolol_dose, atenolol_dose, bisoprolol_dose, metoprolol_dose, nadolol_dose, propanolol_dose","Medication, 1 if any beta blocker administered",1,
acebutolol_dose,T,JSON,yes,no,,,,,Medication,1,
atenolol_dose,T,JSON,yes,no,,,,,Medication,1,
bisoprolol_dose,T,JSON,yes,no,,,,,Medication,1,
metoprolol_dose,T,JSON,yes,no,,,,,Medication,1,
nadolol_dose,T,JSON,yes,no,,,,,Medication,1,
propranolol_dose,T,JSON,yes,no,,,,,Medication,1,
magnesium,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,mg/dL
ast_liver_enzymes,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,Units/L
alt_liver_enzymes,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,
troponin,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,ng/mL
ptt,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,
calcium,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,mg/dL
chloride,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,mg/dL
heart_attack,T,Boolean,no,no,,,heart_attack_update,"heart_attack_inhosp, ekg_proc, troponin","Diagnoses, t at time of heart attack",1,
heart_attack_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with heart attack during hospital stay",1,
ekg_proc,T,Boolean,yes,no,,,,,Procedure,1,
stroke,T,Boolean,no,no,,,stroke_update,"stroke_inhosp, ct_proc, mri_proc",Diagnoses,1,
stroke_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with stroke during hospital stay",1,
ct_proc,T,String,yes,no,,,,,"Procedure, name of CT scan performed",1,
mri_proc,T,String,yes,no,,,,,"Procedure, name of MRI performed",1,
acute_kidney_failure,T,Boolean,no,no,,,acute_kidney_failure_update,"acute_kidney_failure_inhosp, creatinine, urine_output_24hr, dialysis",Diagnoses,1,
acute_kidney_failure_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with acute kidney failure during hospital stay",1,
bronchitis,T,Boolean,no,no,,,bronchitis_update,"bronchitis_inhosp, chest_xray, bacterial_culture",Diagnoses,1,
bronchitis_inhosp,T,String,yes,no,,,,,"Diagnoses, t if patient diagnosed with bronchitis during hospital stay",1,
chest_xray,T,Boolean,yes,no,,,,,"Procedure, true if chest x-ray performed",1,
hepatic_failure,T,Boolean,no,no,,,hepatic_failure_update,"hepatic_failure_inhosp, bilirubin",,1,
ards,T,Boolean,no,no,,,ards_update,"ards_inhosp, pao2_to_fio2, vent",Diagnoses,1,
severe_pancreatitis,T,Boolean,no,no,,,severe_pancreatitis_update,"severe_pancreatitis_inhosp, ct_proc, mri_proc",Diagnoses,1,
anion_gap,TWF,Real,yes,no,last_value_in_window,28,,,Physiologic,1,
pulmonary_emboli,T,Boolean,no,no,,,pulmonary_emboli_update,"pulmonary_emboli_inhosp, ct_proc, ekg_proc",Diagnoses,1,
gi_bleed,T,Boolean,no,no,,,gi_bleed_update,"gi_bleed_inhosp, ct_proc, mri_proc",,1,
culture_order,T,String,yes,no,,,,,Procedure,1,
levophed_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/min
epinephrine_dose,T,JSON,yes,no,,3,,,Medication,1,mcg/min
gi_bleed_inhosp,T,String,yes,no,,,,,,,
ceftriaxone_dose,T,JSON,yes,no,,,,,Medication,1,mg
bands,T,Real,yes,no,,,,,Lab,1,
