FUNC_ID,FUNC_TYPE,DESCRIPTION
admit_weight_update,derive,generate admit weight
cardio_sofa_update,derive,ref Arch folder
cmi_update,derive,ref Arch folder
convert_ounces_to_kg,transform,Convet Onces (weight) to Kgs
dbpm_update,derive,ref Arch folder
fillin,fillin,Fills the missing data in a TWF feature by copying the latest valid value to the gap
fillin2,fillin,combines a TWF feature with a T feature to generate a TWF feature 
get_diastolic,transform,"BP is reported as a string in the form of ""140/70"". GetDiastolic returns the value after the ""/"" char. Ignore the entry row if it's null."
get_systolic,transform,"BP is reported as a string in the form of ""140/70"". GetSystolic returns the value before the ""/"" char"
hematologic_sofa_update,derive,ref Arch folder
hepatic_sofa_update,derive,ref Arch folder
hypotension_raw_update,derive,ref Arch folder
any_organ_failure_update,derive,ref Arch folder
acute_pancreatitis_update,derive, ref Arch folder
jh_pressor_update,derive,ref Arch folder
mapm_update,derive,ref Arch folder
minutes_since_any_antibiotics_update,derive,ref Arch folder
minutes_since_last_cmi_update,derive,ref Arch folder
minutes_since_organ_fail_update,derive,ref Arch folder
minutes_since_any_organ_fail_update,derive,legacy of minutes_since_organ_faile_update
minutes_to_shock_onset_update,derive,ref Arch folder
neurologic_sofa_update,derive,ref Arch folder
pao2_to_fio2_update,derive,PaO2/FiO2
renal_sofa_update,derive,ref Arch folder
resp_sofa_update,derive,ref Arch folder
qsofa_update,derive,ref Arch folder
sbpm_update,derive,ref Arch folder
septic_shock_update,derive,ref Arch folder
septic_shock_iii_update,derive,ref Arch folder
obstructive_pe_shock_update,derive,ref Arch folder
severe_sepsis_update,derive,ref Arch folder
acute_organ_failure_update,derive,ref Arch folder
acute_liver_failure_update,derive,ref Arch folder
shock_idx_update,derive,ref Arch folder
sirs_hr_oor_update,derive,ref Arch folder
sirs_raw_update,derive,ref Arch folder
sirs_resp_oor_update,derive,ref Arch folder
sirs_temperature_oor_update,derive,ref Arch folder
sirs_wbc_oor_update,derive,ref Arch folder
sufficient_fluid_replacement_update,derive,ref Arch folder
vasopressor_resuscitation_update,derive,ref Arch folder
fluid_resuscitation_update,derive,ref Arch folder
urine_output_24hr,derive,ref Arch folder
vasopressor_update,derive,ref Arch folder
worst_sofa_update,derive,ref Arch folder
lookup_population_mean,derive,"looks up for the mean of the input FID, inside the internal data structure that was generated by the fillin function"
nbp_mean_update,derive,ref Arch folder
convert_amoxicillin_dose_to_mg,transform,if MedUnit=='tablet' then Dose = Dose*medication_unit
convert_to_mg,transform,if MedUnit =='g' then Dose = Dose * 1000 ------- if MedUnit == 'mcg' then Dose = Dose / 1000 --- if MedUnit =='mg of piperacillin' then Dose = Dose;
any_antibiotics_update,derive,need description
any_antibiotics_order_update,derive,any antibiotics order has been placed
any_pressor_update,derive,need description
any_inotrope_update,derive,need description
convert_vent_to_binary,transform,if Value == 'Vent Start' return 1; If Value == 'Vent Stop' return 0
urine_output_6hr,derive,ref Arch folder
fluids_intake_24hr,derive,sum up fluids intake within 24 hours
fluids_intake_1hr,derive,sum up fluids intake within 1 hour
fluids_intake_3hr,derive,sum up fluids intake within 3 hours
sirs_intp_update,derive,ref Arch folder
suspicion_of_infection_update,derive,ref Arch folder
hypotension_intp_update,derive,ref Arch folder
convert_arterial_ph_to_real,transform,if value == '<6.79' then 6.79; else return float(value)
convert_age_to_int,transform,if value == '+90' then 90; else return int(value)
convert_gender_to_int,transform,if value == 'Female' then 0; else return 1
convert_bun_to_real,transform,if value == '<3' then 3; else return real(value)
convert_co2_to_real,transform,convert co2 to real
convert_to_given_dose,transform,directly load the dose when the action is in the default given action set
convert_to_mcg_kg_min,transform,if dose is not null and assert unit is mcg/kg/min then return real(dose)
convert_to_mmol,transform,if reference_unit == 'mEq/L' return value 
convert_creatinine_to_real,transform,if value == '<0.1' then 0.1; else return real(value)
convert_inr_to_real,transform,if value start with '>' then return real(value[1:]); else return real(value)
convert_lactate_to_real,transform,if value == '<0.4' then 0.4; else return real(value)
convert_pao2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
convert_paco2_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
cast_string_to_real,transform,if value start with '>' or '<' then return real(value[1:]); else return real(value)
last_value_in_window,fillin,"fills in values from the last value in the window, if not available, fills in from population mean"
piperacillin_tazbac_dose_to_mg,transform,"if unit == 'mg of piperacillin', then return the value in mg; else return convert_to_mg"
extract_fluids_intake,transform,"extract fluids intake from MAR into volumns"
convert_clindamycin_dose_to_mg,transform,"convert_clindamycin_dose_to_mg"
convert_gentamicin_dose_to_mg,transform,"convert_gentamicin_dose_to_mg"
convert_penicillin_dose,transform,"convert to million unit"
convert_penicillin_g_dose,transform,"convert to million unit"
convert_vancomycin_dose_to_mg,transform,"convert_vancomycin_dose_to_mg"
transform_potassium,transform,"transform potassium to mmol"
transform_sodium,transform,"transform sodium to mmol"
threshold_abp_dias,transform,"threshold(8 , 150)"
threshold_abp_mean,transform,"threshold(20 , 170)"
threshold_abp_sys,transform,"threshold(30 , 300)"
threshold_nbp_dias,transform,"threshold(8 , 150)"
threshold_nbp_mean,transform,"threshold(20, 250)"
threshold_nbp_sys,transform,"threshold(30 , 250)"
threshold_arterial_ph,transform,"threshold(6.5, 8.5)"
threshold_bilirubin,transform,"threshold(0, 50)"
threshold_bun,transform,"threshold(0.1, 180)"
threshold_co2,transform,"threshold(0.1, 55)"
threshold_creatinine,transform,"threshold(0.1, 40)"
threshold_hematocrit,transform,"threshold(15, 60)"
threshold_hemoglobin,transform,"threshold(4 , 20)"
threshold_inr,transform,"threshold(0.01, 12)"
threshold_lactate,transform,"threshold(0.2, 40)"
threshold_paco2,transform,"threshold(5, 100)"
threshold_pao2,transform,"threshold(0.1, 500)"
threshold_platelets,transform,"threshold(0.1, 1200)"
threshold_potassium,transform,"threshold(1, 10)"
threshold_sodium,transform,"threshold(115, 160)"
threshold_wbc,transform,"threshold(0.01, 70)"
threshold_fio2,transform,"threshold(20, 100)"
threshold_gcs,transform,"threshold(3, 15)"
threshold_heart_rate,transform,"threshold(20, 300)"
threshold_temperature,transform,"threshold(80, 110)"
threshold_weight,transform,"threshold(20, 300)"
treatment_within_6_hours_update,derive,"Indicator of whether a treatment was received in past 6 hours"
gi_bleed_update,derive,calculate gi_bleed
metabolic_acidosis_update,derive,calculate metabolic acidosis
mi_update,derive,calculate mi
default_convert_dose,transform,directly convert dose
convert_propofol_to_mg,transform, convert propofol in mg or mcg/kg/min to mg
convert_vasopressin_to_unit,transform, convert vasopressin in Unit
change_since_last_measured,derive,calculate measurement change since last measured value
